,Generated Text,Actual Text
0,"Effective Monday, October 22, 2001 the following changes will be made to the Autohedge functionality on EnronOnline
The volume on the hedge will now respect the minimum volume and volume increment settings on the parent product",EnronOnline- Change to Autohedge
1,"Steve Kean asked that you review this memo to Ken Lay
Please let me know  as soon as possible if you have any changes",PLEASE REVIEW MEMO
2,"George, I didn't hear back from you, but I think I found the correct zip code  - hopefully it's 77036
I'm sending yours and Paco's tickets via courier, so  you should received them by +/- 2:00p today",Astros Tickets
3,"Susan:  I am told that the name of the Enron company is ""Enron Investments  PLC"" and Lance Schuler set it up for the acquisition
Please check on  corporate database",Enron Investments PLC
4,"At end of first paragraph, add:  Terms used but not otherwise defined herein  shall have such meaning as set forth in the Agreement
Insert in ""Credit or Other Special Provisions"":  On or before 5:00 p",Vitol
5,"David,  Here is a short list of what it takes to pull positions into the benchmark
1)  Once a book is officialized it must be loaded into GRMS BEFORE the  positions can be pulled into the benchmark",Benchmark Process
6,"All:    As part of the TW Negotiated Rate Settlement Hearing, it has been suggested that the following modification to CAS and other associated systems be made:  EBB sytem that allows a shipper interested in capacity to simply enter a receipt and delivery point; the system will automatically let the interested shipper know how much, if any, capacity is available (advantage: although it doesn't provide the IS's the ""last look"" auction their looking for, it at least provides an open process for anybody that is interested to find out if capacity is available (eliminates any claim of ""tortious process""); disadvantage: feasibility and cost are unknown at this time)
This was drafted by an attorney without considerable consultation with Gas Logistics",TW Negotiated Rate Settlement Offer
7,"David,  	Bryan referred me to you
We are supporting the People's Energy website which interfaces with an Oracle db",db outage
8,"All,  At todays Legal Staff Meeting Sara asked that forward to all members of the EWS/EES Legal Department the Indices or Tables of Contents for the Master Netting Agreements & Payment Netting Agreements, which are housed in notebooks in my office
Therefore, attached are the following:  1",Netting Agreement Materials
9,"Janet and Genia  Here is message and info re VEPCO
Janet can you pick this one up from  Janice?
Genia can you get file from Janice's office and give to Janet?
Thanks

",Virginia Electric & Power
10,"Tana  I would like an NDA for @theMoment, Inc , located in San Mateo, CA",At the Moment
11,"<bigger>Amy,   Sorry I'm just now getting around responding to your comments of December 26:   >Most Montrose neighborhoods have a very unfortunate layout (with respect to theft and >vandalism) - almost every street is a cross street, so that people can get in and out of the >neighborhood very easily
<bigger>    </bigger>>This has been discussed with the Mayor's office in past years, but the ""need for alternate >routes out of downtown"" so far has overshadowed issues such as this",*EMCA* The inner city grid
12,"John Buchanan and I discussed TW's transfer of gas from the PG&E/Topock  receipt/delivery point to the PG&E/Topock Park N' Ride point to implement  TW's use of PG&E's Market Center service
My understanding is that  physically the points are one and the same, and that the transaction will  simply be a paper transfer",Topock
13,"PetroStrategies, Inc
Consulting, Research and Training  Dear Mr",PetroStrategies Fall 2001 Newsletter
14,"Dear HBS Alumni: b6a6b64jpg Spend an evening on the water in Galveston Bay!
Join your fellow alumni for the first social event of the year",HBS Club Dinner Boat Cruise October 6 - CORRECTION
15,"Ruth-  I went ahead and scheduled Kali to do the GSWEC camp the first two sessions
I've only put the deposit down, so I can get that money back if we decide to  do the Blue Fox Farm camp instead",GSWEC Riding Camp
16,"Kim,  I made a few tweaks to the letter
Nothing substantial",Revised LOU
17,"Dear Sir's
Confirm ETA Qalhat 13th",ETA Notice.
18,"ok, so i never gave you your b-day gift",duh
19,"I just read the announcement
Congrats, I like the structure you guys put in  place and I was happy to hear your announcement in particular",reorg
20,"Please respond to TedHallMasa:  I enjoyed our evening together on the boat in Yokohama harbor very much
As promised, I have been in contact with Jeff Skilling at Enron",Meeting with Jeff Skilling at Enron
21,"Please find attached a list of A&A's to be ranked in tomorrow's PRC meeting
If you have not yet sent me a pre-ranking on the individuals you will be representing, please do so as soon as possible",EES Associate & Analyst PRC Review tomorrow at 8:00am in EB50M
22,"CLEM:  I just got dragged into a lunch meeting tomorrow (re:  Whitewing ) so I have  to bag lunch
Will Friday work?
Maybe you want to go to the meeting!

","LUNCH on Thursday, 2/8"
23,"Brant,  Attached are the Master Firm agreement that Debra prepared based on  your credit worksheet
I removed the form of Guaranty since we use a  different form for the Bridgeline Holdings, L",Master Firm Purchase/Sale Forms
24,"Nearly final docs
The change they want in the LLC is the addition of a statement indicating  that for tax purposes this is a  single member LLC, or something like that",Attached Files
25,"Good afternoon all!
There has been some confusion regarding tomorrow's meeting concerning the above mentioned topic
Apparently, a reoccurring meeting has already been set up",Tomorrow's Confirm/Legal Meeting
26,"Joe, thanks for the message
It has been my experience that people who have  had experience in our trading, mid market and structuring groups have a  better overall understanding of how Enron (ECT or ENA) looks at value and  manages risk",Follow-up to Comments in enside
27,"Could I ask the two of you to please insure that there is a refreshed view on the legal risks relative to both our and El Paso's litigation on East Coast Power
If this has already been covered, then I apologize",East Coast Power
28,"Talked to Chris and Mertz this am
Mertz saw some decent deer today",Deer Lease Report
29,"The following is the information need for the arch set up
If you would like to volunteer to help fill out the attachment form* and drop by 1906 CLaiborne",Christmas Arches
30,PS,Saturday B-day Dinner
31,"Version 20 of the ClickAtHome Portal is now available!
Log into www",ClickAtHome Portal is HERE!
32,"Debbie Brackett and I met this week and reviewed the various Koch Hydrocarbon  Company Divisions and have developed the following game plan to resolve the  division issue with respect to this counterparty:  The following entities exist in GCP:  1
Koch Hydrocarbon Co","Koch Industries, Inc./Koch Hydrocarbon Company Division"
33,"Attached is a memo that I have sent to Mike Jordan regarding the Operations  Controller forum set for October 22, 23 and 24
I want to send the official  invitation early next week",Global Operation Controllers Forum
34,"I will be walking in the Juvenile Diabetes walk on October 28 and am soliciting sponsors
If you would like to donate to this cause, please let me know",Juvenile Diabetes Research Foundation
35,"I talked to Orhan today and he is waiting to see if you are going skiing with us
I can get Orhan a roundtrip ticket for $205",Ski Trip 2002
36,"Please e-mail me who you want to add and drop
Check you roster to make sure that it is legal",Pick-Ups
37,"TD Waterhouse is now accepting Conditional Offers to purchase shares of Anthem, Inc, which is expected to price on 10/29/2001",TD Waterhouse IPO Center is accepting Conditional Offers
38,"FYI, make sure the tab on your P&L file has been changed to match this=20 email
This is really important since we are moving books around tonight",2/2001 Interdesk Descriptions in Region File
39,"Jason, 	I verbally confirmed the cut that occurred for gas day May 30th with Irene Isais of our Gas Transportation Services department
Peoples ANR contract 104684 was cut by 6,599 MMBtu throughout the May 30th gas day",Cut on ANR to Peoples Gas Contract 104684
40,"Tyson has had conversations with the Governor's office
The Governor's office wants more information about what the meeting would  ""look like""/attendees, and has said that the idea sounds like one worth  pursuing (but as we know, talk is very cheap with this Governor)",Tyson Update
